Pitbull & Parakeet	1998	oil on canvas	24” x 48”
Mabel	2003	oil on canvas	21” x 26”
Self Portrait	2003	oil on wood	22” x 28”
Grand Farrell	2003	oil on canvas	25” x 30”
Miriam	2004	oil on canvas	26” x 32”
Portrait of Ray Allen	2004	oil on canvas	3' x 4'
Portrait of Stacey Johnson	2005	oil on canvas	20” x 30”
Portrait of Watson	2005	oil on canvas	8” x 10.5”
Portrait of James & Emma	2005	oil on canvas	26” x 34”
Peonies	2006	oil on canvas	26” x 32”
Portrait of Jeff	2006	oil on canvas	22” x 28”
Portrait of Scarlet	2006	oil on canvas	22” x 28”
Portrait of Joel	2006	oil on canvas	13.5” x 18”
Portrait of Carmen	2007	oil and acrylic on canvas	3' x 5'
Sheila	2007	oil on canvas	3.5' x 4.5'
Portrait of Ruth Cavill	2008	oil on canvas	22” x 28”
Flowers and Fox Skull	2008	oil on canvas	22” x 32”
The Burnett Sisters	2008	oil on canvas	22” x 28”
LIllian Dale Snyder	2009	oil on canvas	10” x 13”
Cefalu in Profile	2009	oil on canvas	3' x 4'
